"","OTU","Sample","Abundance","sample_Sample","Description","Site","Sample.Type","Mat","X..Organic.Matter","X..Organic.Carbon","X..Nitrogen","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","V8"
"87","sq5","E12",0.0571970670197838,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"88","sq59","E9",0.0571431176599314,"E9","TM3 27N1","TM","Internal",27,1.647954829,2.235,NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"89","sq46","E4",0.0570569420237115,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"90","sq42","D4",0.0564777732327508,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"91","sq1","D3",0.056040856252417,"D3","SB3 2N1","SB","Internal",2,0.775372332,0.11,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"92","sq20","D5",0.055863184654495,"D5","SB3 3N1","SB","Internal",3,0.456230396,0,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"93","sq161","D11",0.0556784845359793,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"94","sq42","D6",0.0537668866479065,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"95","sq10","E10",0.0526368549875947,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"96","sq4","E5",0.0526245236408204,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"97","sq46","E6",0.0522269857025195,"E6","TM2 23E1","TM","External",23,1.016192071,0.102,0,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"98","sq4","E1",0.0521311856719195,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"99","sq59","D7",0.0516151281756524,"D7","SB4 3N1","SB","Internal",3,0.947464318,NA,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"100","sq20","E10",0.0502309806444068,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"101","sq59","E12",0.0500622566555329,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"102","sq20","E8",0.0496218388087922,"E8","TM3 26E1","TM","External",26,1.169004676,NA,0.034,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"103","sq10","E4",0.0495680986765241,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"104","sq59","E5",0.0491392022060936,"E5","TM2 23N1","TM","Internal",23,1.041089822,0.484,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"105","sq11","E7",0.049100773538575,"E7","TM3 26N1","TM","Internal",26,1.910828025,NA,0.056,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae",NA,NA,NA
"106","sq5","E2",0.0489633661549752,"E2","TM2 21E1","TM","External",21,3.767123288,NA,0,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA
"107","sq4","D10",0.0478670513635549,"D10","SB4 4E1","SB","External",4,0.947375251,0.459,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"108","sq10","E12",0.047710338557622,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"109","sq59","E11",0.0475755941764486,"E11","TM3 28N1","TM","Internal",28,1.477155617,2.427,0.039,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"110","sq59","E4",0.0469441305472027,"E4","TM2 22E1","TM","External",22,1.31061599,0.595,NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"111","sq10","D11",0.0461767974608769,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"112","sq20","E3",0.0457324804869114,"E3","TM2 22N1","TM","Internal",22,1.027042307,1.612,NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"113","sq59","E10",0.0457116125205711,"E10","TM3 27E1","TM","External",27,0.830019021,0.233,NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"114","sq2","D1",0.0456247626779097,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"115","sq59","E1",0.0452695237541432,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"116","sq59","D11",0.0451555413158185,"D11","SB4 5N1","SB","Internal",5,1.132759402,0.701,0,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"117","sq14","D8",0.0450939064828364,"D8","SB4 3E1","SB","External",3,0.797997922,NA,0,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae",NA,NA,NA
"118","sq10","E1",0.0447752514973542,"E1","TM2 21N1","TM","Internal",21,0.632675847,NA,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA
"119","sq42","D1",0.0447016615819727,"D1","SB3 1N1 ","SB","Internal",1,1.016765819,NA,0,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"120","sq1","D4",0.0445201244280401,"D4","SB3 2E1","SB","External",2,0.652985075,0.136,NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"121","sq1","D6",0.0445136545259721,"D6","SB3 3E1","SB","External",3,0.711169545,0.121,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"122","sq1","E12",0.043569776864241,"E12","TM3 28E1","TM","External",28,1.516085295,1.023,0,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA,NA
"123","sq161","D9",0.0432866812726857,"D9","SB4 4N1","SB","Internal",4,1.337102689,1.856,NA,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
